"Sample"	"3prime_overlapping_ncRNA"	"antisense"	"bidirectional_promoter_lncRNA"	"IG_C_gene"	"IG_C_pseudogene"	"IG_J_gene"	"IG_pseudogene"	"IG_V_gene"	"IG_V_pseudogene"	"lincRNA"	"macro_lncRNA"	"miRNA"	"misc_RNA"	"Mt_rRNA"	"Mt_tRNA"	"piRNA"	"polymorphic_pseudogene"	"processed_pseudogene"	"processed_transcript"	"protein_coding"	"pseudogene"	"ribozyme"	"rRNA"	"scaRNA"	"sense_intronic"	"sense_overlapping"	"snoRNA"	"snRNA"	"sRNA"	"TEC"	"TR_C_gene"	"TR_J_gene"	"TR_J_pseudogene"	"TR_V_gene"	"TR_V_pseudogene"	"transcribed_processed_pseudogene"	"transcribed_unitary_pseudogene"	"transcribed_unprocessed_pseudogene"	"translated_unprocessed_pseudogene"	"tRNA"	"unassigned"	"unitary_pseudogene"	"unmapped_reads"	"unprocessed_pseudogene"
"Li M19 2h B"	0	0.0239700149535466	0.00202034685958536	8.34361534932006e-05	0	0	0	5.95972524951433e-06	0	0.288325547846254	0	38.168976924361	0.129475031045699	0.23854396283706	0.201677102443565	16.0261004975357	0.000744965656189291	0.0453952272255506	0.0397394479637615	4.83612632877289	0.00328380861248239	0.0197028516748944	2.97446907340635	0.082768664265255	0	0.000238389009980573	13.2852943719871	0.531726686761668	0.000226469559481544	0.0115380280830597	5.95972524951433e-06	2.38389009980573e-05	0	5.95972524951433e-06	0	0.00226469559481544	0.000286066811976688	0.00500020948434252	0	1.60418520513702	2.49520584801616	0.00283682921876882	18.9717423799102	0.00800987073534726
"Li M2 30'"	0	0.0186561656342549	0.0017190945782731	0.000112430236131785	0	0	0	0	7.25356362140547e-06	0.415941098742254	0	27.4552714439459	0.149985561781612	0.136084107101188	0.327012408743823	19.3328034363322	0.000351797835638165	0.0106917527779517	0.0666965174988233	4.36962651473449	0.0083597320736698	0.0452694905611915	2.01803569580208	0.184273157019995	3.62678181070273e-06	0.000275635417613408	23.6899320609471	0.815024915628361	0.00134553605177071	0.00567954031556048	1.81339090535137e-05	0	0	3.62678181070273e-06	0	0.0025206133584384	0.000290142544856219	0.00298484143020835	1.45071272428109e-05	3.14184844157548	1.69988714180361	0.00139631099712055	16.0922086063968	0.00566865997012837
"Li M20 1h B"	3.70300040792253e-06	0.022321686458957	0.00203665022435739	8.51690093822181e-05	0	0	0	1.11090012237676e-05	3.70300040792253e-06	0.392714302261408	0	29.0361519486225	0.178873434704698	0.303557161439857	0.235477498940201	17.341921134386	0.000607292066899294	0.0910456710295911	0.0628436199228532	6.66084974675921	0.00605810866736125	0.0415143375732194	2.20911746835638	0.213303932497561	3.70300040792253e-06	0.000388815042831865	24.4779991414964	0.671261398946156	0.0032549373585639	0.00870945695943378	3.33270036713027e-05	0	0	3.70300040792253e-06	0	0.00338083937243326	0.000407330044871478	0.00561745161881847	2.59210028554577e-05	1.83586613623901	2.31043155951714	0.00365115840221161	13.8677365276699	0.0127309154024376
"Li M21 direkt K"	0	0.0205793888217022	0.00177029915697161	0.000105729964964614	0	0	0	5.42204948536482e-06	8.13307422804723e-06	0.389273331777024	0	29.4129159345657	0.176116300358877	0.135974156993979	0.311095511272292	18.0546873875348	0.000496117527910881	0.0109769391831211	0.0577773593160475	4.48091182389313	0.0069348012917816	0.0425468223116577	1.89315195421101	0.191737224926213	2.71102474268241e-06	0.000330745018607254	23.212645108616	0.705148379670665	0.00100579017953517	0.00567959683591965	3.79543463975537e-05	0	0	1.08440989707296e-05	2.71102474268241e-06	0.00245347739212758	0.000393098587688949	0.00325322969121889	2.16881979414593e-05	2.63851838593937	1.63090910880185	0.00153172897961556	16.6043569258183	0.00663387754534385
"Li M22 0h B"	8.2791584301689e-06	0.0168204902106265	0.00140469721365199	0.00014902485174304	0	0	0	0	0	0.371127075229705	2.75971947672297e-06	27.7297302950993	0.148635731296822	0.17220097590856	0.447861075279987	21.6705509258348	0.000422237079938614	0.0116404967528175	0.0613375250896447	4.35719689442144	0.00617901190838272	0.0318720002366735	2.099989217776	0.164415807264724	1.37985973836148e-05	0.000248374752905067	20.5317223268509	0.755119962659892	0.00100729760900388	0.00624524517582407	2.48374752905067e-05	0	0	1.93180363370608e-05	2.75971947672297e-06	0.00376701708572685	0.000281491386625743	0.00255825995492219	2.20777558137837e-05	3.25119515861308	1.92283454540673	0.00173586355085875	16.2256933912473	0.00596375378919833
"Li M23 0h B"	0	0.0199072444668625	0.0015920479887384	6.64460763246411e-05	0	0	0	0	5.31568610597129e-06	0.337811852034475	5.31568610597129e-06	21.84837356218	0.156228014654496	0.240885631578195	0.300179452247251	27.0843615863645	0.00062193527439864	0.0407447340022699	0.0635729479843636	5.36881373075742	0.00635224489663569	0.0336137410911094	3.87048926159645	0.152305038308289	2.65784305298564e-06	0.000382729399629933	17.4869487945805	1.02603107433152	0.00078672154368375	0.00791771445484423	5.04990180067272e-05	5.31568610597129e-06	0	7.97352915895693e-06	0	0.00243458423653485	0.00049435880785533	0.00397081752116055	2.39205874768708e-05	1.90879909242102	2.56850763228869	0.0028332606944827	17.4575105249256	0.00736222525677023
"Li M24 direkt K"	0	0.0142840408112099	0.0012125007260337	0.000144717828591119	0	0	0	7.82258532924968e-06	1.56451706584994e-05	0.309739177404306	0	27.0639197136777	0.126240882043431	0.113482245371425	0.444545790383266	29.3468082580687	0.000305080827840738	0.00830367432699854	0.0414753474156818	3.37313790689911	0.00253060635401227	0.0222865456030323	1.77790545975387	0.108460145590047	0	0.000230766267212866	17.7254503315701	0.614616618026483	9.38710239509962e-05	0.00436891390638595	1.95564633231242e-05	0	0	3.91129266462484e-06	0	0.0038095990553446	0.000312903413169987	0.00281613071852989	1.95564633231242e-05	3.40580502323406	1.35362016537337	0.00131810562797857	14.1279020080381	0.00480697868482393
"Li M25 K"	0	0.0149095973483475	0.00134820827086121	8.37122782560882e-05	0	0	0	0	0	0.369413472125353	0	24.1329148306875	0.158907933676965	0.121127260727178	0.444481356174155	24.4354554102144	0.000326037294260554	0.00948151698984746	0.0465264030728574	4.0068309219057	0.0028285938231794	0.0253604144022128	2.12382896436016	0.121730870312498	0	0.000189454103421673	22.558903704004	0.784851073654028	3.96531844370944e-05	0.00470551121986854	3.96531844370944e-05	0	0	2.20295469094969e-05	0	0.00180201693719685	0.000290790019205359	0.00250255652891885	8.81181876379876e-06	3.85407363772586	1.45416157967713	0.00126009008322322	15.3163200611188	0.00527387353013356
"Li M26 10' K"	0	0.0240096157672954	0.00192474292419487	4.96707851405128e-05	0	0	0	0	9.31327221384614e-06	0.339645724366755	0	21.9796080316915	0.267961468136781	0.0864861502018466	0.249154867112955	14.23630205475	0.000450141490335897	0.0193436663881584	0.0624392813456958	6.35736068571016	0.0101390490168072	0.0391312654185102	3.80097301342781	0.309104400353482	0	0.000316651255270769	27.0924454647376	0.929914708432181	0.00169811996699128	0.00737921601743743	4.65663610692307e-05	0	3.10442407128205e-06	0.000180056596134359	3.10442407128205e-06	0.00420959904065846	0.000468768034763589	0.00375324870217999	3.10442407128205e-05	3.21168502736891	2.85598322170549	0.00113001036194667	18.1006674077134	0.00599153845757435
"Li M27 30' K"	0	0.010320137858015	0.00130109284337379	0.000219180514833578	0	0	0	0	0	0.392855424055537	0	29.9352829890925	0.143912993356685	0.127050083960127	0.851045295192317	21.9487880530018	0.000181873193159777	0.0084501083591158	0.0371487655566868	3.4782035703853	0.00359082971110329	0.0236108712043065	2.00583281320709	0.107197925414456	0	0.000149229286695202	18.9761593156942	0.541692983873164	9.32683041845011e-05	0.0042810151620686	4.66341520922506e-06	0	0	4.66341520922506e-06	0	0.00136638065630294	0.000275141497344278	0.00181873193159777	4.66341520922506e-06	3.81641775843435	1.38098647273823	0.00135705382588449	16.196316163136	0.00408048830807192
"Li M28 10' B"	0	0.0217115596835802	0.00396797470079225	0.000299469788739038	0	0	0	0	0	0.215917717680846	0.000524072130293316	39.4504280171956	0.106910714579836	0.135510079404414	0.157521108876734	8.1559848288605	7.48674471847594e-05	0.0122782613383005	0.0419257704234653	3.80416472635199	0.00127274660214091	0.033914953574696	1.08235868395007	0.103242209667783	0	7.48674471847594e-05	15.9756650849671	0.641389420031834	0	0.00778621450721498	0	0	0	0	0	0.00104814426058663	0.000598939577478075	0.00359363746486845	0	1.02508508685373	1.4506316566519	0.00164708383806471	27.5564612852944	0.00801081684876925
"Li M29 30' B"	0	0.0113834934686973	0.000863232728941042	7.14185351282157e-05	0	0	0	0	0	0.501966726725514	0	23.4581165224452	0.188153683372135	0.208809165792695	0.733527353687098	20.1376669893439	0.000214255605384647	0.0217702325993009	0.0611932639900759	4.35257157185209	0.00805166354728101	0.0333897177492914	3.75817684005586	0.173009848771252	0	0.000170783453567472	20.9706306800054	0.858438371626348	0.000549612205117138	0.00545264989935421	2.79463833110409e-05	0	0	9.31546110368031e-06	0	0.00147494800808272	0.000350882368238625	0.0021456612075477	9.31546110368031e-06	4.6950482890215	2.55834855505554	0.0021580818223526	17.2507838572375	0.00546507051415911
"Li M3 10' B"	0	0.0116461314573532	0.00140578995443134	9.02800888166916e-05	0	0	0	0	4.29905184841388e-06	0.378570206719478	0	28.632919138317	0.16747816285866	0.127019785913237	0.459946959158105	17.6034006875818	0.00023214879981435	0.0114354779167809	0.0553545916001772	3.97230241267519	0.011405384553842	0.0378961420437684	2.27137824979839	0.157573147399914	0	0.000197756385027039	20.0609235833646	0.743275971227822	0.00065345588095891	0.00515886221809666	1.71962073936555e-05	0	0	6.44857777262083e-05	0	0.00234728230923398	0.000266541214601661	0.00233438515368874	8.59810369682777e-06	3.41054960669479	1.82814170517507	0.00170672358382031	20.0399012198259	0.00439363098907899
"Li M30 1h K"	0	0.0124428575292813	0.000540993805620926	0	0	0	0	0	0	0.251967864967946	0	31.7089994319565	0.184614136168141	0.118477643430983	0.0904812139900998	9.23422326814358	0	0.0117666152722551	0.0382753117476805	3.3532148556899	0.00229922367388893	0.0206930130650004	1.06467580946198	0.168790067353729	0	0	19.0804457788958	0.293489139549352	0	0.00175822986826801	0	0	0	0	0	0.00094673915983662	0.00175822986826801	0.00338121128513079	0	0.840569125483513	1.28458979144689	0	32.2248370256161	0.00676242257026157
"Li M31 1h B"	6.38414321829384e-06	0.0222678915454089	0.00199823682732597	0.000137259079193318	0	0	0	3.19207160914692e-06	6.38414321829384e-06	0.528201665380368	0	21.9586596082728	0.216773582977167	0.249894517993676	0.265692080387344	17.1898163467136	0.000561804603209858	0.0524904255408119	0.0668196349942725	6.07816719419906	0.00842387697653872	0.0377111339904617	3.44058396013383	0.237113463270651	0	0.000367088235051896	25.0898424514752	0.88280570836889	0.00161838030583749	0.0102369736505342	4.46890025280569e-05	3.19207160914692e-06	0	1.91524296548815e-05	0	0.00228233120054005	0.000351127877006161	0.00449124475406972	3.19207160914692e-05	2.24239838470962	2.70043193197772	0.00324633682650242	18.6975530664349	0.00894737672043881
"Li M32 2h K"	0	0.0384623843536414	0.00362173647411387	5.7125180979714e-05	0	0	0	1.14250361959428e-05	0	0.342556860262953	5.7125180979714e-06	40.7561774456647	0.139939555846005	0.184091608225226	0.163617943362097	13.6916719769283	0.00102825325763485	0.0296022687836878	0.0500245209839355	6.15346736995381	0.00622664472678882	0.0460257583153556	3.41497759407589	0.0686187673928324	0	0.000542689219307283	14.1884668258365	0.56919530328187	0.000399876266857998	0.0148982471995094	2.8562590489857e-05	5.7125180979714e-06	0	1.71375542939142e-05	0	0.00422155087440086	0.000594101882189025	0.00509556614339049	3.42751085878284e-05	2.18504959751026	3.50670349717502	0.00201080637048593	14.4196181581528	0.0129331409738072
"Li M33 2h B"	0	0.0145469949788527	0.000978390410323097	0.000114543267550021	0	0	0	0	0	0.3056157557319	0	28.7633321801054	0.212592304572839	0.351261247850584	0.384941741146438	18.3316238546091	0.000372265619537569	0.0740999488325679	0.036291125268765	4.95223044616369	0.00495876895768633	0.0264213137148715	4.66744724721745	0.0919877891149628	0	9.5452722958351e-05	14.3936883605093	0.829603478411768	0.000138406448289609	0.00858119979395575	0	0	0	0	0	0.0028015374188276	0.000453400434052167	0.00378947310144653	0	2.63284859417946	2.62956979314584	0.00474400033103004	21.2651485261074	0.00972185983330805
"Li M34 10' K"	0	0.0133624652856395	0.00130589819033779	4.90478193554099e-05	0	0	0	3.06548870971312e-06	0	0.572384986388924	0	24.3810425763888	0.32174143301665	0.16370016258739	0.637765729589685	11.4767145784159	0.000232977141938197	0.0101161127420533	0.083175905160646	5.40666681258393	0.00481588276295931	0.0472238535731306	2.39189354808431	0.255195804106198	3.06548870971312e-06	0.000174732856453648	35.9201030641828	0.633805118176736	0.00162777450485767	0.00590413125490746	1.53274435485656e-05	0	0	3.06548870971312e-06	0	0.00148063104679144	0.000272828495164467	0.00237881923873738	9.19646612913935e-06	3.22090898729557	2.1583125048703	0.00171360818872963	12.2806328615607	0.00526344411457742
"Li M35 30' K"	0	0.0142748897228735	0.00139046639153708	4.2392268034667e-05	0	0	0	0	2.82615120231114e-06	0.494802552500634	2.82615120231114e-06	22.237344643289	0.21989152044702	0.146846816472087	0.411566747290166	10.7579282514255	0.000245875154601069	0.0102137104451524	0.0640575431515842	4.58625273574969	0.0102956688300195	0.0429518459727246	1.99565558384878	0.247028224291612	0	0.000203482886566402	31.0694317240164	0.845830314886093	0.000689580893363917	0.00556186556614832	1.9783058416178e-05	2.82615120231114e-06	0	1.41307560115557e-05	0	0.00104850209605743	0.000231744398589513	0.00208287343610331	5.65230240462227e-06	2.88193660089356	1.78521188687109	0.00129155109945619	22.1605185490054	0.00512381212979009
"Li M36 10' B"	4.94144828512473e-06	0.0231210365260986	0.0013391324852688	7.41217242768709e-05	0	0	0	9.88289657024946e-06	0	0.345975501683008	0	18.2570701500846	0.168271138453352	0.219622669032369	0.208539000528834	27.8833671937841	0.000474379035371974	0.0396353566949854	0.0660523392272622	6.95370485579322	0.00837081339500129	0.0249938454261609	3.746561616747	0.150145906143515	0	0.00027177965568186	19.0378683936172	1.06789638889831	0.00122053772642581	0.00815833111874093	4.44730345661226e-05	0	0	9.88289657024946e-05	0	0.00548994904477357	0.000454613242231475	0.0128922385758904	3.45901379958731e-05	3.33634234590909	3.43431149960997	0.0023570708320045	14.9857325563664	0.0094925221557246
"Li M37 30' B"	0	0.0254451204980165	0.00203536805312878	0.000157031363149402	0	0	0	1.20793356268771e-05	0	0.271301878179659	0	33.6632058967451	0.14201070929738	0.35977697197872	0.210935398384341	21.354634678009	0.000706641134172308	0.0495554744092631	0.0457927613614909	5.73039454371578	0.00417341045908602	0.0166815625007172	3.68820166595781	0.0728202748266283	0	0.000229507376910664	14.0618445073026	0.546535580105866	0.000175150366589717	0.0138127202893339	0.000108714020641893	0	0	4.83173425075082e-05	0	0.00335201563645838	0.000314062726298803	0.00633561153629701	4.83173425075082e-05	1.85798300944809	2.94216981830626	0.00415529145564571	14.9116740859959	0.0133718245389529
"Li M38 0h K"	0	0.0185405565500658	0.00182233581656131	9.95132186518123e-05	0	0	0	0	0	0.299397957466309	0	38.0458004613184	0.128944253068086	0.127078380218364	0.128061073252551	17.5637347957796	0.000522444397922015	0.0152441811822245	0.0367701342918447	4.4536519050002	0.00307247062587471	0.0378025839353572	1.48246707698455	0.114670325767716	0	0.000317198384452652	18.2715412221691	0.48263911046129	0.000174148132640672	0.00925472933461855	4.35370331601679e-05	0	0	0	0	0.00179745751189836	0.000186587284972148	0.00363845205695689	1.24391523314765e-05	1.52405738280484	2.10500311414179	0.00105732794817551	15.1364083664246	0.00618847828490958
"Li M39 0h B"	3.34416407753123e-06	0.0217571314884182	0.00168880285915327	6.01949533955622e-05	0	0	0	3.34416407753123e-06	0	0.472025415379456	0	26.9984298146407	0.159035066871075	0.245431545814095	0.295851507611033	19.5505316401563	0.000652111995118591	0.02997708679099	0.0715985528999437	5.64388886286014	0.00493264201435857	0.0258938624523243	3.47527537435492	0.172920036120985	0	0.000321039751442998	22.0118196803989	0.981956930577729	0.000558475400947716	0.0084908325928518	3.00974766977811e-05	3.34416407753123e-06	3.34416407753123e-06	6.68832815506247e-06	0	0.00226734324456618	0.000374546376683498	0.0033408199134537	4.3474133007906e-05	2.00152233037137	2.48734242257065	0.00322043000666258	15.3215385335152	0.00720332942300228
"Li M4 30' B"	0	0.0190919257993376	0.00186628937589031	5.63104553070352e-05	0	0	0	5.36290050543192e-06	1.07258010108638e-05	0.322701812113355	0	24.6513605195921	0.163732033881089	0.101364182453169	0.240936349557287	16.3684625840621	0.000380765935885666	0.00993745463656535	0.0540794886967755	4.71045002994107	0.0107821114661709	0.0367760902159994	2.00327394350056	0.209426627637622	0	0.000332499831336779	22.9365623571793	0.634061089657721	0.000667681112926274	0.00550233591857315	1.60887015162958e-05	0	0	5.63104553070352e-05	2.68145025271596e-06	0.00330622816159878	0.000616733558124671	0.00321774030325915	2.14516020217277e-05	3.09074950074078	1.69885157775997	0.00123883001675477	22.7146857560183	0.00541652951048624
"Li M40 2h K"	0	0.0124018166361309	0.00132446585434408	9.570732280808e-05	0	0	0	9.2619989814271e-06	0	0.550246097487603	3.08733299380903e-06	22.7413504043912	0.264525778242552	0.160803738982543	0.358084317286941	14.3418997767735	0.000216113309566632	0.00894709101605858	0.0770073468645787	4.68996137622931	0.00545840473305437	0.0404533242178798	2.26076750604253	0.238971923052794	6.17466598761807e-06	0.000175977980647115	35.2506278400376	0.816806428173074	0.00134916451829455	0.00445810884306024	3.08733299380903e-06	0	0	0	0	0.00110526521178363	0.000179065313640924	0.0027693376954467	9.2619989814271e-06	3.75968311120178	1.69964164708474	0.00113305120872792	12.7036651829356	0.00585975802224954
"Li M41 2h B"	0	0.0209074914101824	0.00193171256442872	4.26683498166987e-05	0	0	0	7.75788178485431e-06	1.16368226772815e-05	0.49601568767823	0	35.1479251564561	0.218151635790103	0.285319376283372	0.298728874948493	5.33498669309932	0.000508141256907957	0.0177306388192845	0.061395876445337	5.69610445336161	0.00407288793704851	0.0336381754191283	1.66628051810083	0.198109148198932	0	0.000318073153179027	31.6549233670619	0.782630630219673	0.000384015148350288	0.00876252747599294	3.87894089242716e-06	0	0	1.16368226772815e-05	0	0.00123738214468426	0.00028704162603961	0.00332037340391765	1.16368226772815e-05	1.36429721174359	2.04831740659598	0.00280835320611726	14.6393944538826	0.011423480928198
"Li M42 2h K gefällt"	0	0.012208036002095	0.00128862602244336	0.000100377184906114	0	0	0	5.42579377870889e-06	0	0.571968189873266	2.71289688935445e-06	19.4870449135815	0.337837049631309	0.152603162923077	0.206904507060396	17.4138274075617	0.000165486710250621	0.014863962056773	0.0511408192612207	5.20474151437051	0.00812241328672721	0.0383739264999186	4.5832439659883	0.195211921467278	2.71289688935445e-06	0.000151922225803849	29.6838829454442	0.325167821158024	0.000510024615198636	0.00617726621706007	5.42579377870889e-06	0	0	1.35644844467722e-05	0	0.00112042641530339	0.000233309132484482	0.00208350481102421	8.13869066806334e-06	3.93092248314925	2.72934247029771	0.00122894229087756	15.0347307772672	0.00476384693770641
"Li M43 2h B"	0	0.0143266054978701	0.00116305953602619	1.52532398167369e-05	0	0	3.81330995418422e-06	3.81330995418422e-06	0	0.510880574491923	0	21.3841422819159	0.208721520342274	0.43977378377625	0.413587784320867	12.0723215587347	0.000366077755601686	0.0264567444621302	0.0727808337855601	5.38023714745806	0.0157871032103227	0.0476206147078526	3.25547228091648	0.248593489223224	0	0.000175412257892474	31.2505631782139	0.986167713871491	0.00216977336393082	0.00620044198550355	2.28798597251053e-05	0	0	1.52532398167369e-05	0	0.00141473799300235	0.000205918737525948	0.00297056845430951	7.62661990836845e-06	2.69105664797776	2.37301134455898	0.00385144305372607	18.5757958463674	0.01411687345039
